F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.38,2.9769190000000005,3.20629,1.0,0.999301812765111,0.13106430336515956,2.026523616990025e-08,True
0.8,0.38,2.9769190000000005,3.3666045,1.0,0.7795051049184045,0.0005804411916214887,1.9433581572807945e-15,True
0.8,0.38,2.9769190000000005,3.5269190000000004,1.0,0.5526366571641061,0.00019950526373440828,1.9778533749645997e-08,True
0.8,0.45999999999999996,2.435661,2.8856610000000003,1.0,0.8170085530151823,0.0009888170562565696,2.6573190379359667e-08,True
0.8,0.45999999999999996,2.435661,3.0459755000000004,1.0,0.602886317335809,0.0002622019114959295,3.597529742886077e-09,True
0.8,0.45999999999999996,2.435661,3.20629,1.0,0.4775288467054981,8.236074552898186e-05,2.8946201732268798e-09,True
0.8,0.45999999999999996,2.435661,3.3666045,1.0,0.3953018776076271,2.8379163228894655e-05,3.3744046329299354e-09,True
0.8,0.45999999999999996,2.435661,3.5269190000000004,1.0,0.33722828044661995,1.0450691214834783e-05,1.7537119475321566e-08,True
0.8,0.45999999999999996,2.5439126,2.8856610000000003,1.0,0.9979979683469721,0.05877948077903097,2.7920175298041886e-15,True
0.8,0.45999999999999996,2.5439126,3.0459755000000004,1.0,0.7326453835458112,0.0005569432788905461,1.360094555374834e-15,True
0.8,0.45999999999999996,2.5439126,3.20629,1.0,0.5555398881447112,0.0001668439360127676,2.1378475292384355e-08,True
0.8,0.45999999999999996,2.5439126,3.3666045,1.0,0.44731359242405333,5.6360284989574436e-05,5.378722480391437e-09,True
0.8,0.45999999999999996,2.5439126,3.5269190000000004,1.0,0.37436556241459545,2.054442255448969e-05,4.54107696009577e-09,True
0.8,0.45999999999999996,2.6521642000000005,2.8856610000000003,1.0,0.9993011815291898,0.23771511242428195,3.5771090286713725e-15,True
0.8,0.45999999999999996,2.6521642000000005,3.0459755000000004,1.0,0.9331033182579164,0.0013131069439623448,2.6828317715035294e-15,True
0.8,0.45999999999999996,2.6521642000000005,3.20629,1.0,0.6639591373083656,0.00033798386277123855,1.2046415864830351e-08,True
0.8,0.45999999999999996,2.6521642000000005,3.3666045,1.0,0.5150753402179862,0.00011067342153019908,4.1132473747952786e-08,True
0.8,0.45999999999999996,2.6521642000000005,3.5269190000000004,1.0,0.4206927341759693,3.975929762150984e-05,1.499682358074655e-08,True
0.8,0.45999999999999996,2.7604158,2.8856610000000003,1.0,0.99970936991866,0.35982137514644363,2.714426829213808e-15,True
0.8,0.45999999999999996,2.7604158,3.0459755000000004,1.0,0.9990719255690376,0.16076752803501784,5.193691458291817e-08,True
0.8,0.45999999999999996,2.7604158,3.20629,1.0,0.8247880339911747,0.0007011496327350447,2.2358600525675596e-15,True
0.8,0.45999999999999996,2.7604158,3.3666045,1.0,0.6070025685939391,0.00021619350792992205,2.0777306644649396e-08,True
0.8,0.45999999999999996,2.7604158,3.5269190000000004,1.0,0.48009902301068014,7.599675861787897e-05,4.283803957320234e-09,True
0.8,0.45999999999999996,2.8686674,2.8856610000000003,1.0,0.9998706414417503,0.4482831791254779,3.5696353481193684e-15,True
